"NO","ROI_ID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_vPC"
41592,"ROI208","Do1.3","80",303548.36,3.499,60.53,20,20,"vPC805"
41597,"ROI514","Dd1.3","63",303431.61,7.165,130.57,6.3,20,"vPC997"
41603,"ROI187","Dd6.2","39",303277.66,1.321,20.94,17.2,20,"vPC1098"
41604,"ROI391","Dn5.3","78",303267.3,3.893,70.61,16.4,20,"vPC163"
41607,"ROI246","Dd2.3","64",303187.27,3.74,67.96,20,20,"vPC1345"
41611,"ROI519","Do2.2","52",303132.13,5.162,102.63,14.4,20,"vPC127"
41615,"ROI385","Dn3.2","47",303076.14,4.07,66.27,20,20,"vPC1079"
41616,"ROI407","Dc3.2","31",303051.57,6.653,113.1,20,20,"vPC2007"
41621,"ROI276","Dd2.2","35",303011.96,1.961,32.87,20,20,"vPC317"
41622,"ROI62","Dn2.2","46",302995.73,4.368,63.31,20,20,"vPC1331"
41625,"ROI246","Dd2.1","6",302987.59,3.745,67.96,20,20,"vPC1345"
41626,"ROI433","Dd5.1","9",302973.67,1.287,22.31,20,20,"vPC965"
41627,"ROI453","Dd3.3","65",302900.35,3.69,71.83,20,5,"vPC1530"
41628,"ROI145","Df4.1","15",302894.64,1.749,25.5,20,20,"vPC381"
41634,"ROI407","Dc5.2","33",302820.58,6.655,113.17,20,20,"vPC2007"
41636,"ROI407","Dc2.3","59",302807.86,6.632,113.41,20,20,"vPC1252"
41637,"ROI503","Dd2.1","6",302806.86,4.715,87.32,20,20,"vPC1968"
41638,"ROI98","Do4.2","54",302794.88,4.068,76.53,7.4,5,"vPC345"
41641,"ROI208","Do5.2","55",302704.91,3.502,60.68,20,20,"vPC805"
41642,"ROI380","Dn3.1","18",302683.74,3.576,74.76,20,20,"vPC879"
41645,"ROI344","Dc3.3","60",302612.31,2.04,11.96,14.8,20,"vPC1487"
41652,"ROI285","Dd5.2","38",302531.97,0.875,51.42,20,8.9,"vPC489"
41660,"ROI491","Do6.3","85",302431.1,4.852,105.21,20,20,"vPC1073"
41662,"ROI276","Do6.1","27",580442.42,1.919,32.83,20,20,"vPC265"
41666,"ROI434","Do6.3","85",302278.55,0.952,23.44,20,20,"vPC1311"
41669,"ROI187","Dc2.2","30",302261.88,1.324,20.92,20,20,"vPC1098"
41670,"ROI131","Dn3.2","47",302257.58,5.309,128.91,16,20,"vPC293"
41672,"ROI445","Df4.3","73",302253.39,5.295,128.07,20,20,"vPC904"
41674,"ROI109","Dd4.2","37",302230.82,5.092,95.62,5,20,"vPC614"
41676,"ROI388","Dd3.1","7",302224.51,3.943,67.09,20,20,"vPC1000"
41677,"ROI462","Df2.3","71",302152.83,4.395,102.28,20,20,"vPC1557"
41679,"ROI19","Dn5.2","49",302132.24,1.294,23.78,11.8,20,"vPC413"
41680,"ROI39","Dn2.1","17",302107.79,3.742,56.78,16.4,20,"vPC281"
