,vPC_num,H_data,C_data
95,vPC118,3.807242446,64.83912389
96,vPC119,3.20744129,54.59122618
97,vPC121,1.091990226,22.56961274
98,vPC122,1.036665761,20.48136319
99,vPC123,7.161760477,116.279917
100,vPC124,3.874119305,56.64158802
101,vPC126,3.882022582,62.20416829
102,vPC127,5.16859354,102.5870259
103,vPC128,1.313757533,23.51133346
104,vPC129,4.265798673,104.1444498
105,vPC130,3.797671481,62.6472857
106,vPC131,3.191064003,74.94262221
107,vPC132,3.482739621,76.53314023
108,vPC133,3.473962844,65.64507699
109,vPC135,3.664267162,65.64651726
110,vPC136,3.363165739,73.62145585
111,vPC137,0.976528852,14.90131369
112,vPC138,5.332183891,128.9450339
113,vPC139,1.472262879,31.68964684
114,vPC140,3.415474984,73.60589308
115,vPC142,5.353760695,122.4970735
116,vPC143,3.789155227,83.52686186
117,vPC144,1.1632515,23.55986562
118,vPC145,2.344450083,34.86866213
119,vPC149,5.343292461,130.713881
120,vPC151,2.354514437,30.66791615
121,vPC154,1.226979224,24.09825471
122,vPC155,2.312259041,30.64407185
123,vPC157,3.856571094,72.23148125
124,vPC158,3.820410169,71.61039048
125,vPC159,3.189513918,54.5848023
126,vPC161,0.779062773,16.49525379
127,vPC162,1.279764476,32.83650831
128,vPC163,3.886237038,70.59885875
129,vPC164,1.329824048,30.58305729
130,vPC167,3.653877342,72.06013957
131,vPC168,1.130117186,24.08190316
132,vPC171,3.302223325,49.66146994
133,vPC174,2.175270886,32.3379681
134,vPC177,2.750356409,32.34614848
135,vPC179,0.855843909,20.03836671
136,vPC180,3.810716825,70.97853004
137,vPC182,3.712293295,61.00436355
138,vPC183,3.395545558,77.65787585
139,vPC184,2.805462009,26.3156883
140,vPC186,3.517317349,66.54769422
141,vPC187,3.210628361,74.90148942
142,vPC188,3.738417497,64.03994246
143,vPC189,2.205028046,32.34557266
144,vPC190,3.646533312,65.09222573
145,vPC193,3.781214191,70.94431854
146,vPC195,3.629373201,74.91073992
147,vPC196,3.77643238,69.16476808
148,vPC197,2.721022627,32.34503444
149,vPC198,1.305955575,32.49715656
150,vPC199,3.678024051,72.15820372
151,vPC204,4.242513197,104.4489311
152,vPC205,1.911764022,30.53351791
153,vPC210,7.246180757,130.5175316
154,vPC211,6.400500475,106.6877405
155,vPC212,3.737400924,55.47528891
156,vPC213,2.024961063,27.96070684
157,vPC215,3.400439286,79.24162067
158,vPC217,4.496020573,100.2535329
159,vPC219,3.703492728,64.98785056
160,vPC220,3.965496494,77.74195897
161,vPC221,0.946589827,20.87586472
162,vPC222,3.702870318,74.54978028
163,vPC223,3.508967616,77.5838618
164,vPC224,3.945477902,74.39601412
165,vPC225,3.943089166,70.49367714
166,vPC226,2.761288271,38.18923705
167,vPC227,3.943305988,72.00965347
168,vPC228,0.988718672,20.08631551
169,vPC229,3.651700341,67.27152536
170,vPC230,2.783299423,39.25674929
171,vPC231,0.972310354,20.78744166
