"NO","PeakID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_PC"
15128,8215,"Do6.1",27,609209.8,5.049,93.77,20,5,NA
15129,8155,"Dn1.3",74,609197.11,3.905,56.62,18.4,20,NA
15130,9116,"Dc2.1",1,609122.55,3.23,74.89,16.5,20,NA
15131,6896,"Dd6.2",39,609121.76,3.473,73.81,20,20,NA
15132,8253,"Df1.2",41,609079.71,3.621,74.2,20,20,NA
15133,7595,"Dn3.2",47,609064.09,1,16.94,20,20,NA
15134,8482,"Dn3.1",18,608846.89,4.311,55.84,20,7.7,NA
15135,8774,"Do5.2",55,608778.77,4.386,64.83,20,20,NA
15136,9389,"Dn3.1",18,608756.26,3.899,61.34,20,20,NA
15137,8407,"Dd3.2",36,608651.94,1.251,24.04,20,20,NA
15138,5395,"Dc4.1",3,608645.4,3.716,64.11,6.6,20,NA
15139,6731,"Do4.1",25,608598.72,3.735,64.05,5,20,NA
15140,9747,"Dn5.1",20,608288.91,3.501,77.5,20,20,NA
15141,9177,"Dn4.1",19,608276.47,3.201,77.8,20,20,NA
15142,7396,"Dn2.1",17,608270.25,3.646,75.36,20,20,NA
15143,6050,"Do4.1",25,608261.37,3.745,55.48,15.7,20,NA
15144,7778,"Dn2.1",17,608247.54,1.033,15.57,20,20,NA
15145,4349,"Dd2.2",35,608216.48,3.521,64.29,5,20,NA
15146,8122,"Dn2.3",75,608209.59,6.653,104.07,20,20,NA
15147,7619,"Dd1.2",34,607970.39,6.74,104.55,20,20,NA
15148,7918,"Dd1.2",34,607964.86,3.783,70.9,20,5,NA
15149,9117,"Dc3.1",2,607959.41,1.075,38.2,20,20,NA
15150,8068,"Dd5.2",38,607954.99,3.704,73.62,20,20,NA
15151,9064,"Do3.2",53,607922.91,2.91,39.31,20,20,NA
15152,5573,"Do1.1",22,607893.51,4.367,67.22,10.3,20,NA
15153,8325,"Do3.3",82,607876.34,3.54,60.37,20,20,NA
15154,7066,"Do5.1",26,607853.15,3.543,60.5,17.7,20,NA
15155,9758,"Dn5.2",49,607845.47,1.584,25.44,20,20,NA
15156,4466,"Dn5.1",20,607814.58,6.245,104.89,5.1,6.9,NA
15157,8437,"Do5.2",55,607807.71,6.766,116.59,20,20,NA
15158,4427,"Dn5.2",49,607772.03,6.245,104.9,5.3,5,NA
15159,5188,"Do6.1",27,607764.61,1.376,30.48,5,20,NA
15160,8260,"Dn6.3",79,607664.66,3.789,75.49,20,20,NA
15161,11334,"Dd5.1",9,607649.07,3.57,62.87,20,20,NA
15162,8983,"Do4.3",83,607644.74,0.946,57.91,20,5,NA
15163,5206,"Dn6.3",79,607570.55,3.695,65.64,5,20,NA
15164,7144,"Dc3.1",2,607533.19,6.674,113.72,20,20,NA
15165,10286,"Dn6.3",79,607471.93,2.236,33.51,20,20,NA
15166,9969,"Dd4.3",66,607414.05,4.872,102.51,20,20,NA
15167,8441,"Df1.1",12,607402.49,1.02,57.47,20,20,NA
15168,9293,"Dn1.2",45,607303.38,0.969,20.56,20,20,NA
15169,9057,"Dn6.3",79,607146.26,2.01,31.64,20,20,NA
15170,10889,"Dd6.2",39,607121.82,3.443,72.12,20,20,NA
15171,6129,"Dc1.1",0,607101.31,3.767,56.02,16.5,5,NA
15172,8032,"Dd5.2",38,607096.86,3.316,74.7,20,20,NA
15173,9133,"Do7.2",57,607090.18,3.586,62.64,20,20,NA
15174,6566,"Do7.2",57,607039.93,3.435,71,12.6,20,NA
15175,7392,"Dd4.3",66,607039.62,3.829,65,19.9,20,NA
15176,8982,"Do3.3",82,606964.43,1.827,29.13,20,20,NA
15177,6540,"Dn4.3",77,606905.88,2.8,41.34,20,20,NA
15178,6667,"Df2.2",42,606728.14,3.707,72.74,18,20,NA
15179,8433,"Dn2.3",75,606670.82,1.503,21.98,20,20,NA
15180,7784,"Do6.1",27,606617.05,1.055,18.15,20,20,NA
15181,6594,"Dd3.2",36,606570.82,2.051,20.63,19.2,20,NA
15182,8698,"Dc2.3",59,606521.28,1.216,30.47,20,20,NA
15183,8071,"Do2.1",23,606503.98,1.953,22.3,20,20,NA
15184,9663,"Dd5.1",9,606472.03,3.629,56.45,20,20,NA
15185,8091,"Df2.2",42,606458.75,3.566,79.08,20,15.2,NA
15186,5669,"Df1.2",41,606432.52,4.364,67.34,9.4,12.3,NA
15187,7361,"Dn1.3",74,606416.53,0.965,14.469,20,20,NA
15188,5485,"Dn3.2",47,606343.3,4.519,70.31,5.3,20,NA
15189,8075,"Dc3.1",2,606333.16,2.074,27.38,19.6,20,NA
15190,8134,"Dn3.1",18,606291.47,3.898,65.82,20,20,NA
15191,6558,"Df3.1",14,606276.62,1.324,20.95,14.3,20,NA
15192,5881,"Dn4.3",77,606265.57,3.988,64.87,20,5,NA
15193,9964,"Dd2.1",6,606222.06,3.813,64.89,20,20,NA
15194,7982,"Df4.1",15,606221.37,3.909,56.67,18.7,20,NA
15195,9990,"Do4.3",83,606151.27,1.27,25.71,20,20,NA
15196,9080,"Do2.1",23,606032.05,1.135,40.87,20,20,NA
15197,8344,"Dn2.1",17,606013.23,1.501,21.99,20,20,NA
15198,5658,"Df3.3",72,605829.33,3.316,48.9,5,5,NA
15199,8006,"Dc5.2",33,605814.15,1.102,57.21,20,13.2,NA
15200,5255,"Dd5.1",9,605786.05,3.277,77.74,7.6,20,NA
15201,7800,"Dn3.1",18,605780.98,3.584,66.21,20,20,NA
15202,9302,"Dn3.2",47,605652.96,2.337,32.96,20,20,NA
15203,10344,"Dd3.3",65,605644.99,1.87,29.16,20,20,NA
15204,10472,"Dd7.3",69,605643.22,1.315,25.93,20,20,NA
15205,7178,"Dd3.3",65,605636.85,1.004,22.42,20,5,NA
15206,7478,"Dn2.1",17,605612.66,4.02,65.07,20,5,NA
15207,6775,"Dd4.3",66,605584.42,4.165,63.36,20,5,NA
15208,9389,"Dc2.3",59,605490.52,6.657,116.02,20,20,NA
15209,6590,"Df3.3",72,605486.39,1.324,20.95,14.1,20,NA
15210,8044,"Dd4.1",8,605441.8,3.305,74.7,20,20,NA
15211,7871,"Do2.1",23,605411.5,1.462,32.9,20,20,NA
