"NO","PeakID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_PC"
179,1,"S2",1,2.66e+12,8.72,154.704,11.8,99.3,"PC18"
180,1,"S6",5,2.66e+12,8.719,154.705,11.9,97.1,"PC18"
181,11,"S4",3,2.58e+12,3.739,79.108,23.9,108.8,"PC23"
182,2,"S6",5,2.32e+12,8.946,150.516,10.3,102.4,"PC21"
183,22,"S3",2,2.28e+12,3.93,64.119,11.2,101.3,"PC26"
184,7,"S4",3,2.27e+12,4.651,98.739,21.5,99.9,"PC22"
185,2,"S5",4,2.18e+12,8.944,150.533,10.6,100.3,"PC21"
186,24,"S4",3,2.15e+12,4.038,58.968,10.3,105.2,"PC32"
187,15,"S4",3,2.14e+12,3.522,74.737,18,111,"PC13"
188,2,"S2",1,2.13e+12,8.946,150.525,10.4,102.4,"PC21"
189,12,"S4",3,1.87e+12,3.522,78.397,18.8,106.3,"PC24"
190,25,"S3",2,1.79e+12,3.841,64.125,10.5,98.6,"PC28"
191,33,"S1",0,2.457e+12,3.299,56.214,4.6,96,"PC35"
192,16,"S5",4,1.56e+12,4.103,74.679,10.7,96.5,"PC34"
193,40,"S1",0,1.54e+12,3.278,38.155,11.3,103.5,"PC36"
194,14,"S4",3,1.54e+12,3.295,76.835,15.9,106.6,"PC25"
195,16,"S6",5,1.53e+12,4.102,74.7,10.4,99.8,"PC34"
196,17,"S6",5,1.44e+12,4.086,74.71,9.7,100,"PC33"
197,17,"S1",0,1.4e+12,4.102,74.712,10.5,101.4,"PC34"
198,18,"S1",0,1.32e+12,4.086,74.716,9.9,99,"PC33"
199,9,"S1",0,1.24e+12,4.807,92.131,6.3,199.7,"PC37"
200,17,"S5",4,1.23e+12,4.086,74.708,10.1,95.6,"PC33"
201,29,"S1",0,1.21e+12,4.043,58.971,11.5,119.1,"PC32"
202,28,"S1",0,1.19e+12,4.06,59.243,10.5,108.9,"PC31"
203,8,"S4",3,1.09e+12,5.252,94.962,10.8,99.6,"PC30"
204,37,"S1",0,9.62e+11,3.433,50.373,11.1,94.9,"PC38"
205,33,"S2",1,9.59e+11,3.075,33.033,8.1,100.5,"PC39"
206,33,"S6",5,9.14e+11,3.074,33.021,7.3,105.3,"PC39"
207,29,"S3",2,8.11e+11,3.298,56.222,4.2,103.9,"PC35"
208,26,"S4",3,7.81e+11,3.297,56.227,7.6,108,"PC35"
210,22,"S1",0,6.98e+11,3.934,69.04,7.9,95.9,"PC40"
211,35,"S1",0,6.13e+11,3.24,56.239,6.5,108.3,"PC41"
212,33,"S5",4,5.23e+11,3.051,32.065,13.1,42.7,"PC42"
213,36,"S1",0,4.69e+11,3.277,55.222,10.8,24.5,"PC43"
214,35,"S6",5,4.4e+11,3.053,32.062,11.2,40.6,"PC42"
215,35,"S2",1,4.17e+11,3.054,32.059,10.6,41.8,"PC42"
216,30,"S1",0,3.44e+11,3.276,57.165,9.9,21.5,"PC44"
