"NO","PeakID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_PC"
70,4,"S5",4,1.39e+13,8.351,143.106,10.6,95.2,NA
71,15,"S2",1,1.35e+13,3.739,75.401,21,99.3,NA
72,8,"S2",1,1.32e+13,5.254,94.964,10.7,95.4,NA
73,23,"S5",4,1.31e+13,3.912,64.13,10.8,97,NA
74,6,"S4",3,1.29e+13,7.594,127.068,17.2,96.8,NA
75,1,"S4",3,1.19e+13,8.711,154.696,11.7,95.3,NA
76,4,"S6",5,1.19e+13,8.351,143.099,9.8,94.8,NA
77,31,"S4",3,1.18e+13,3.048,33.007,9.6,96.4,NA
78,4,"S2",1,1.17e+13,8.353,143.109,10,95.9,NA
79,3,"S6",5,1.17e+13,8.243,149.193,9.7,96.7,NA
80,24,"S6",5,1.17e+13,3.86,64.121,11.4,97.8,NA
81,11,"S1",0,1.15e+13,4.287,88.416,12.7,97.5,NA
82,5,"S4",3,1.15e+13,8.247,139.339,16.6,96.3,NA
83,21,"S1",0,1.14e+13,4.448,73.183,13.4,95.9,NA
84,24,"S2",1,1.14e+13,3.861,64.121,11.4,97.8,NA
85,3,"S2",1,1.13e+13,8.244,149.151,9.9,94.5,NA
86,23,"S2",1,1.12e+13,3.913,64.126,10.7,97.6,NA
87,23,"S6",5,1.12e+13,3.912,64.13,10.5,96.6,NA
88,14,"S1",0,1.09e+13,4.779,76.841,14.5,97.4,NA
89,10,"S1",0,1.08e+13,6.104,91.157,12.8,97.3,NA
90,29,"S4",3,1.06e+13,3.431,38.159,15.2,96.6,NA
91,26,"S6",5,1.03e+13,4.064,59.252,9.3,102.8,NA
92,27,"S6",5,1.01e+13,4.044,58.974,10.9,105.5,NA
93,28,"S4",3,9.91e+12,3.275,50.394,15.5,97.1,NA
94,22,"S5",4,9.64e+12,3.93,64.127,11.7,97.2,NA
95,26,"S5",4,9.61e+12,4.043,58.98,11.7,107.5,NA
96,27,"S2",1,9.52e+12,4.045,58.974,11.1,106.9,NA
97,11,"S3",2,9.46e+12,3.74,79.091,17.1,100,NA
98,7,"S3",2,9.37e+12,4.653,98.736,16.3,97,NA
99,2,"S4",3,9.12e+12,8.936,150.52,10,95.6,NA
100,21,"S5",4,9.09e+12,3.913,69.026,10.1,97,NA
101,12,"S3",2,8.96e+12,3.52,78.392,17.5,101.9,NA
102,18,"S4",3,8.79e+12,3.912,69.02,9.6,96.6,NA
103,14,"S3",2,8.64e+12,3.297,76.838,20.2,99.7,NA
104,18,"S5",4,7.89e+12,3.521,74.758,23.9,126.5,NA
105,19,"S1",0,7.83e+12,3.521,74.768,24.6,128.4,NA
106,19,"S3",2,7.62e+12,3.587,74.143,18.8,101,NA
107,18,"S6",5,7.6e+12,3.521,74.763,22.3,124.9,NA
108,21,"S6",5,7.59e+12,3.913,69.021,9.5,97.3,NA
109,28,"S2",1,7.51e+12,3.786,56.961,15.6,97.9,NA
110,22,"S6",5,7.47e+12,3.93,64.129,10.7,98.6,NA
111,4,"S1",0,7.39e+12,8.348,143.094,10.1,97.2,NA
112,3,"S1",0,7.32e+12,8.238,149.187,10,97.2,NA
113,26,"S1",0,7.24e+12,3.859,64.122,11.6,97.9,NA
114,22,"S2",1,7.23e+12,3.931,64.127,10.7,99.2,NA
115,25,"S2",1,7.11e+12,3.842,64.124,11.2,98.3,NA
116,25,"S6",5,7.02e+12,3.841,64.122,11,98.9,NA
117,15,"S3",2,6.91e+12,3.738,75.397,22.2,102.7,NA
118,43,"S1",0,6.79e+12,2.151,29.084,23.2,98.6,NA
119,25,"S1",0,6.58e+12,3.911,64.128,10.5,96.6,NA
120,41,"S1",0,6.58e+12,2.463,33.65,29.6,99.5,NA
121,17,"S2",1,6.51e+12,4.087,74.708,10.2,96.4,NA
122,8,"S3",2,6.31e+12,5.253,94.965,10.9,96.2,NA
123,6,"S3",2,6.28e+12,7.604,127.073,17.7,97.5,NA
124,1,"S3",2,5.99e+12,8.721,154.71,11.8,98.4,NA
125,25,"S5",4,5.94e+12,4.064,59.243,9.6,104.4,NA
126,5,"S3",2,5.86e+12,8.258,139.353,18,96.9,NA
127,16,"S2",1,5.85e+12,4.103,74.701,9.8,94.6,NA
128,31,"S2",1,5.33e+12,3.434,38.161,15.5,98.4,NA
129,11,"S5",4,5.26e+12,3.74,79.086,18.2,103.1,NA
130,10,"S3",2,5.25e+12,4.289,88.419,13,98.6,NA
131,26,"S2",1,5.17e+12,4.065,59.248,9,101.6,NA
132,7,"S5",4,5.13e+12,4.653,98.734,17.9,102.2,NA
133,30,"S2",1,5.07e+12,3.277,50.361,15.7,99.4,NA
134,13,"S3",2,5.03e+12,4.783,76.841,14.5,101,NA
135,20,"S3",2,4.99e+12,4.45,73.194,13.2,96.3,NA
136,42,"S1",0,4.97e+12,3.05,33.008,9.5,97,NA
137,7,"S6",5,4.95e+12,4.652,98.737,17.3,100.5,NA
138,7,"S1",0,4.84e+12,4.652,98.742,17.7,100.2,NA
139,27,"S3",2,4.83e+12,4.045,58.97,11.1,111,NA
140,24,"S1",0,4.75e+12,3.93,64.127,11,98.4,NA
141,12,"S1",0,4.69e+12,3.739,79.085,18.1,100.2,NA
142,9,"S3",2,4.64e+12,6.111,91.159,12.5,98.6,NA
143,11,"S6",5,4.6e+12,3.739,79.09,17.1,100.8,NA
144,2,"S3",2,4.58e+12,8.948,150.533,10.1,97.2,NA
145,21,"S2",1,4.46e+12,3.913,69.025,9.8,98.8,NA
146,27,"S1",0,4.27e+12,3.84,64.125,11.1,98.6,NA
147,14,"S5",4,4.24e+12,3.297,76.839,21.1,100.9,NA
148,12,"S5",4,4.22e+12,3.521,78.397,17.2,103.8,NA
149,14,"S6",5,4.17e+12,3.297,76.822,19.1,101.7,NA
150,13,"S1",0,4.16e+12,3.521,78.389,16.2,103.3,NA
151,12,"S6",5,4.15e+12,3.521,78.389,16.3,100.9,NA
152,20,"S1",0,4.11e+12,3.587,74.142,20.4,101.9,NA
153,19,"S6",5,4.09e+12,3.587,74.133,21,98.6,NA
154,15,"S1",0,3.95e+12,3.298,76.828,18.6,101.3,NA
155,19,"S5",4,3.81e+12,3.587,74.144,21.6,100.6,NA
156,23,"S4",3,3.65e+12,4.059,59.258,9.8,104.6,NA
157,15,"S5",4,3.39e+12,3.739,75.391,21.2,103.7,NA
158,6,"S5",4,3.35e+12,7.602,127.094,20.5,101.9,NA
159,31,"S1",0,3.27e+12,3.783,56.968,15.9,97.5,NA
160,8,"S6",5,3.26e+12,5.253,94.968,10.9,97.8,NA
161,4,"S3",2,3.25e+12,8.354,143.1,10.2,97.4,NA
162,3,"S3",2,3.23e+12,8.245,149.183,10.1,97,NA
163,6,"S6",5,3.21e+12,7.602,127.068,19.1,97.9,NA
164,15,"S6",5,3.21e+12,3.738,75.405,19.4,106.9,NA
165,8,"S1",0,3.17e+12,5.254,94.978,11,100.1,NA
166,24,"S3",2,3.15e+12,3.86,64.111,11.8,98.7,NA
167,16,"S3",2,3.14e+12,4.102,74.697,10.6,96,NA
168,26,"S3",2,3.14e+12,4.065,59.239,9.3,105.8,NA
169,5,"S5",4,3.05e+12,8.256,139.356,19.2,101.9,NA
170,6,"S2",1,3.04e+12,7.602,127.077,19.9,99.6,NA
171,8,"S5",4,2.97e+12,5.254,94.961,11.6,97.4,NA
172,23,"S3",2,2.95e+12,3.912,64.131,10.3,100.3,NA
173,17,"S3",2,2.9e+12,4.086,74.701,9.8,99.8,NA
174,5,"S2",1,2.89e+12,8.257,139.37,18.8,102.4,NA
175,5,"S6",5,2.79e+12,8.256,139.346,17.3,97.1,NA
176,16,"S4",3,2.78e+12,3.586,74.152,33,103.8,NA
177,1,"S5",4,2.75e+12,8.718,154.712,12.7,99.8,NA
178,16,"S1",0,2.74e+12,3.738,75.416,19.6,100.5,NA
179,1,"S2",1,2.66e+12,8.72,154.704,11.8,99.3,NA
180,1,"S6",5,2.66e+12,8.719,154.705,11.9,97.1,NA
181,11,"S4",3,2.58e+12,3.739,79.108,23.9,108.8,NA
182,2,"S6",5,2.32e+12,8.946,150.516,10.3,102.4,NA
183,22,"S3",2,2.28e+12,3.93,64.119,11.2,101.3,NA
184,7,"S4",3,2.27e+12,4.651,98.739,21.5,99.9,NA
185,2,"S5",4,2.18e+12,8.944,150.533,10.6,100.3,NA
186,24,"S4",3,2.15e+12,4.038,58.968,10.3,105.2,NA
187,15,"S4",3,2.14e+12,3.522,74.737,18,111,NA
188,2,"S2",1,2.13e+12,8.946,150.525,10.4,102.4,NA
189,12,"S4",3,1.87e+12,3.522,78.397,18.8,106.3,NA
190,25,"S3",2,1.79e+12,3.841,64.125,10.5,98.6,NA
191,33,"S1",0,1.68e+12,3.299,56.214,4.6,96,NA
192,16,"S5",4,1.56e+12,4.103,74.679,10.7,96.5,NA
193,40,"S1",0,1.54e+12,3.278,38.155,11.3,103.5,NA
194,14,"S4",3,1.54e+12,3.295,76.835,15.9,106.6,NA
195,16,"S6",5,1.53e+12,4.102,74.7,10.4,99.8,NA
196,17,"S6",5,1.44e+12,4.086,74.71,9.7,100,NA
197,17,"S1",0,1.4e+12,4.102,74.712,10.5,101.4,NA
198,18,"S1",0,1.32e+12,4.086,74.716,9.9,99,NA
199,9,"S1",0,1.24e+12,4.807,92.131,6.3,199.7,NA
200,17,"S5",4,1.23e+12,4.086,74.708,10.1,95.6,NA
201,29,"S1",0,1.21e+12,4.043,58.971,11.5,119.1,NA
202,28,"S1",0,1.19e+12,4.06,59.243,10.5,108.9,NA
203,8,"S4",3,1.09e+12,5.252,94.962,10.8,99.6,NA
204,37,"S1",0,9.62e+11,3.433,50.373,11.1,94.9,NA
205,33,"S2",1,9.59e+11,3.075,33.033,8.1,100.5,NA
206,33,"S6",5,9.14e+11,3.074,33.021,7.3,105.3,NA
207,29,"S3",2,8.11e+11,3.298,56.222,4.2,103.9,NA
208,26,"S4",3,7.81e+11,3.297,56.227,7.6,108,NA
209,32,"S1",0,7.77e+11,3.311,56.246,8,98.7,NA
210,22,"S1",0,6.98e+11,3.934,69.04,7.9,95.9,NA
211,35,"S1",0,6.13e+11,3.24,56.239,6.5,108.3,NA
212,33,"S5",4,5.23e+11,3.051,32.065,13.1,42.7,NA
213,36,"S1",0,4.69e+11,3.277,55.222,10.8,24.5,NA
214,35,"S6",5,4.4e+11,3.053,32.062,11.2,40.6,NA
215,35,"S2",1,4.17e+11,3.054,32.059,10.6,41.8,NA
216,30,"S1",0,3.44e+11,3.276,57.165,9.9,21.5,NA
