ID,GroupID,SI,Amplitude,Center,LW..Hz.
10690,2824,21,482976.37,"1.049,  15.87","20.0,   20.0"
10691,2824,21,426667.62,"1.053,  18.20","20.0,   20.0"
10713,4099,21,299575.59,"1.175,  20.08","20.0,   20.0"
10721,3367,21,524866.03,"2.322,  33.12","20.0,   20.0"
10807,1451,21,531016.61,"1.596,  31.72","20.0,   20.0"
10811,1077,21,245242.72,"2.150,  46.07","5.7,   20.0"
10862,245,21,352324.45,"4.467,  98.51","20.0,    5.0"
10863,1077,21,365373.68,"2.140,  45.41","20.0,   20.0"
10865,2630,21,413222.07,"3.686,  61.79","20.0,   20.0"
10866,1367,21,447113.9,"1.782,  33.81","20.0,   20.0"
10914,2799,21,376056.5,"2.398,  46.37","20.0,   20.0"
10961,3447,21,409637.43,"3.741,  60.25","20.0,   20.0"
10965,441,21,248562.16,"1.097,  24.35","20.0,   20.0"
10972,3448,21,646639.93,"1.173,  30.54","20.0,   20.0"
10988,900,21,417723.36,"3.461,  72.18","20.0,   20.0"
10995,2824,21,378091.87,"1.032,  17.97","20.0,   20.0"
11005,1144,21,505804.58,"2.030,  39.10","20.0,   20.0"
11007,650,21,379072.05,"3.386,  76.05","20.0,   20.0"
11057,3473,21,546207.63,"2.672,  41.27","20.0,   20.0"
11083,3487,21,513780.66,"1.066,  38.20","20.0,   20.0"
11100,3492,21,351267.47,"1.778,  45.67","20.0,   20.0"
11129,2824,21,466925.45,"1.038,  16.69","20.0,   20.0"
11165,3508,21,384203.1,"3.896,  79.12","20.0,   20.0"
11218,441,21,384058.87,"1.222,  25.35","20.0,   20.0"
11240,3532,21,409785.57,"1.931,  22.63","20.0,   20.0"
11263,1712,21,467160.62,"1.904,  42.37","20.0,   20.0"
11298,3560,21,242320.99,"1.273, 13.383","8.4,    8.4"
11313,441,21,489867.97,"1.192,  29.14","20.0,   20.0"
11315,3563,21,433508.64,"6.929, 106.86","20.0,   20.0"
11316,900,21,245574.67,"3.704,  73.54","14.7,    5.0"
11339,4099,21,424003.22,"1.495,  22.00","20.0,   20.0"
11350,441,21,447119.04,"1.250,  29.70","20.0,    5.0"
11368,2824,21,404000.28,"1.089,  15.40","20.0,   20.0"
11370,2082,21,291020.7,"3.725,  52.42","10.8,   20.0"
11373,3576,21,332449.78,"4.554,  84.68","18.2,   20.0"
11419,3593,21,433067.34,"2.349,  50.66","20.0,   20.0"
11422,441,21,499563.89,"1.320,  27.70","20.0,   20.0"
11433,4099,21,477111.51,"0.955,  20.40","20.0,   20.0"
11452,1427,21,399937.45,"2.580,  53.41","20.0,   20.0"
11463,441,21,389992.94,"1.236,  28.79","20.0,   20.0"
11496,441,21,777680.63,"1.319,  30.68","20.0,   20.0"
11507,650,21,579296.01,"3.243,  77.31","20.0,   20.0"
11519,1451,21,622407.65,"1.525,  31.64","20.0,   20.0"
11580,3367,21,477464.37,"2.278,  33.38","20.0,   20.0"
11602,2630,21,494934.08,"3.566,  62.17","20.0,   20.0"
11652,1367,21,514028.8,"1.780,  32.88","20.0,   20.0"
11688,2630,21,231617.62,"3.548,  62.43","20.0,   20.0"
11696,1427,21,336262.31,"2.617,  53.41","15.0,   20.0"
11715,900,21,339041.71,"3.761,  71.16","20.0,   20.0"
11723,2630,21,404702.02,"3.486,  62.49","20.0,   20.0"
11783,900,21,471619.87,"3.440,  75.16","20.0,   20.0"
11811,2253,21,443250.4,"2.038,  41.67","20.0,   20.0"
11849,2630,21,467222.92,"3.497,  66.51","20.0,   20.0"
11899,1698,21,537659.61,"3.664,  75.69","20.0,   20.0"
11927,1077,21,387964.68,"2.173,  46.74","20.0,   20.0"
11933,1287,21,431516.1,"2.076,  26.60","20.0,   20.0"
11938,97,21,120798.36,"3.280,  71.74","5.0,    5.0"
11941,441,21,300272.9,"1.389,  30.83","20.0,   20.0"
11950,900,21,480020.22,"3.594,  74.50","20.0,   20.0"
11994,957,21,451623.99,"3.661,  68.50","20.0,   20.0"
12008,2630,21,513623.39,"3.584,  66.14","20.0,   20.0"
